 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "StressRatio" , "LoadCycle_time" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "0.66" , "0.10" , "1247001.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.73" , "0.10" , "151.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "0.75" , "0.10" , "163247.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.48" , "0.10" , "1746.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.51" , "0.10" , "2805.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "0.95" , "0.10" , "34528.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.07" , "0.10" , "3595.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "0.89" , "0.10" , "36647.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.89" , "0.10" , "421.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.01" , "0.10" , "4508.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "0.93" , "0.10" , "47119.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.66" , "0.10" , "580.00" ,
 "Biax-CH16-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "2.36" , "1.21" , "0.10" , "5928.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "1.53" , "0.10" , "1521.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "0.61" , "0.10" , "183268.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "0.65" , "0.10" , "196692.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "0.98" , "0.10" , "21682.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "0.89" , "0.10" , "28190.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "1.17" , "0.10" , "2826.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "1.02" , "0.10" , "34959.00" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "1.20" , "0.10" , "4396.00" ,
