 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStress_MPa" , "FatigueTestFrequency_Hz" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "-17.2" , "15.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "-24.1" , "2.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "207" , "2.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "-15.5" , "20.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "-20.7" , "4.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "172" , "4.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "-17.2" , "5.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "-20.7" , "5.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "103" , "5.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "121" , "5.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "138" , "5.0" ,
 "Biax-CH17-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "28.0" , "61.0" , "0.0" , "0.0" , "25.0" , "1.96" , "172" , "5.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-24.1" , "1.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-13.8" , "10.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-17.2" , "10.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "86" , "10.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-12.1" , "15.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-13.8" , "15.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-20.7" , "2.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "207" , "2.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-17.2" , "4.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "138" , "4.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "172" , "4.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "-17.2" , "5.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "103" , "5.0" ,
 "Biax-CH18-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "3.10" , "138" , "5.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-13.8" , "1.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-17.2" , "1.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-17.6" , "1.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "138" , "1.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-10.3" , "10.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-8.6" , "10.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "86" , "10.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "86" , "12.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-8.6" , "15.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-13.8" , "2.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "121" , "2.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-10.3" , "4.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "121" , "4.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "-10.3" , "5.0" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "103" , "5.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "-15.5" , "10.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "121" , "10.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "138" , "10.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "-15.5" , "15.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "-20.7" , "2.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "-27.6" , "2.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "207" , "2.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "241" , "2.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "-13.8" , "20.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "103" , "20.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "172" , "4.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "207" , "4.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "-17.2" , "5.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "138" , "5.0" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "172" , "5.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "276" , "1.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "-20.7" , "10.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "138" , "10.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "276" , "2.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "-27.6" , "4.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "207" , "4.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "-20.7" , "5.0" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "138" , "5.0" ,
 "Biax-CH3-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "4.19" , "-13.8" , "10.0" ,
 "Biax-CH3-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "4.19" , "138" , "10.0" ,
